type,olfactory,gustatory,thermosensory,mechanosensory,hygrosensory,chemosensory,visual
FB7G,6.683162378928582e-07,8.2713827458016e-06,6.513708982189013e-06,1.8333387744475986e-06,3.5230749487851296e-06,9.782209269612821e-07,3.3972873365087226e-08
FB7H,3.400953433744114e-07,3.708911697135011e-07,4.212086797184805e-06,4.635312877844164e-08,1.5784082156212945e-06,9.314075531370005e-08,1.4397088990831886e-08
FB7I,1.2536636030530793e-06,3.563581373692218e-06,7.850263686390005e-06,1.1372840730808102e-06,4.091024889815169e-06,8.968029224154568e-07,5.9522835799062606e-08
FB7J,7.377145937510538e-08,1.8829310369178932e-08,3.5639737213234846e-07,8.36678341629496e-09,3.1833485984670474e-07,7.316187787608096e-09,9.1620062234697e-08
FB7K,7.594073483409377e-06,4.544048532142723e-06,3.1660731134503904e-05,3.784176307214547e-07,2.1737367323761237e-05,2.0127483038562797e-07,9.607289021879826e-08
FB7L,2.5186776300102958e-06,1.2085800068074702e-05,3.067450766577267e-05,8.308175939303715e-06,1.9414818895335396e-05,4.436953245208505e-06,1.406612903654007e-07
FB7M,1.7775641737806928e-06,1.2414905046085641e-06,5.4467030086429894e-05,5.08483850031726e-07,1.1327286528835018e-05,4.186220538796044e-07,4.12765044482817e-08
FB8A,3.1608730046169384e-05,6.017365036329751e-06,7.930795890144066e-05,1.4121024445120634e-06,4.149798298081032e-05,1.809980511354032e-06,1.856309786505364e-07
FB8B,4.867488126313683e-06,3.599718665875363e-07,0.0001478556532989732,5.317639769398756e-07,8.85523371662547e-05,2.309998147196116e-06,1.251362597732556e-05
FB8C,4.668593654027119e-07,1.781139255877244e-05,4.813946664330981e-06,4.212753795393829e-06,3.318640613308361e-05,1.0164375157983529e-05,1.905635134001228e-07
FB8D,5.433825200440309e-06,2.8919141323282386e-06,1.3639744960687965e-05,2.437417975234752e-07,1.0090543286590296e-05,8.759017908312918e-08,7.22400360922393e-08
FB8E,1.0594783507832575e-05,1.2639646130723805e-05,2.503625106861732e-05,2.954596809249742e-06,1.9530649865755238e-05,1.4074241467288197e-06,8.333334810811785e-08
FB8F_a,6.071533481011938e-06,4.221165428332016e-05,5.283841306398733e-06,1.407531412885733e-06,4.564499521465921e-06,6.742305137056876e-07,2.7008351795970547e-08
FB8F_b,1.5974391734998904e-05,2.435362118078041e-05,2.628203459419876e-05,1.0688336206444684e-06,1.5470435899654994e-05,4.861248095345352e-07,9.253015013512949e-08
FB8G,2.01831156322645e-06,7.854970048736155e-06,9.372618087764235e-06,1.8062990418964416e-06,6.054674452230926e-06,1.2609110755391097e-06,6.486616522964544e-08
FB8H,2.4124414169598582e-05,1.255089017456122e-05,8.887887680955362e-05,4.6405441434232035e-06,5.945441541097928e-05,2.5329242531392528e-06,2.385064437288994e-07
FB8I,5.490379252137226e-06,1.017477038804601e-05,3.157655912289106e-05,1.7019046926203822e-06,1.527238999828471e-05,1.7503404919134075e-06,2.7457610395227966e-07
FB9A,2.341886871542704e-05,2.8740630474907586e-06,4.137148100969619e-05,2.595486894766862e-07,5.5580870052644907e-05,1.9803097240725094e-07,3.6016301618292963e-07
FB9B_a,2.3433978881872923e-05,1.1121939311911123e-06,7.159168171334056e-05,9.491533301815794e-08,3.1467159105843276e-05,3.337228559405067e-08,5.1121961204039117e-08
